,0,1,2,3
RPL22,0.010857439921547824,0.016240029501543442,-0.013637283096261648,-0.007582372262074656
RNF207,0.00933899264149948,0.003060394576022352,0.0,0.005187912754610214
ICMT,0.009752216295940338,0.009288313717485414,0.0,-0.007945137064031379
GPR153,0.002602175260338372,0.006554685385289258,0.0,0.0
ACOT7,0.023305959567259678,0.0,0.0,-0.022809344686599745
HES2,0.0021521907004491865,0.0035261295272495064,0.0,0.0018627467775856664
ESPN,0.002988396262449313,0.0017967369818391193,0.0,0.0020696873638756954
TNFRSF25,0.005797746539805625,0.023821885055096973,0.0,0.01450260563895421
PLEKHG5,0.011968455631657422,0.003632531344377378,0.0,0.008163399592498738
NOL9,0.01057711949461658,0.004558787018996905,0.0,0.006061590102802036
