,0,1,2
PEX14,0.0110105920964816,0.009439205900808705,0.00988001595946185
CASZ1,0.003312023775360436,0.0,0.00449429245819616
TARDBP,0.0067791031209480865,0.0,0.0
RP4-635E18.9,0.0,0.0047420541244670485,0.0
MASP2,0.0,0.006347543481354587,0.0
SRM,0.006599783048333042,0.0,0.0
EXOSC10,0.012873971993528216,0.005525862089333964,0.0
MTOR,0.010697756261088574,0.011243326907008237,0.006831076419724434
UBIAD1,0.011743748932039805,0.005890832212520386,0.0
PTCHD2,0.002479123273637966,0.0,0.005184843956886779
FBXO2,0.022364105429156345,0.0,-0.021342918043867676
FBXO44,0.015311700512407572,0.0,0.0
FBXO6,0.0043683096453756304,0.0,0.0
MAD2L2,0.015972378987528825,0.0,-0.009396701491162122
