,0,1,2
ENO1,-0.024364569766636722,0.03389246381323403,0.028457356551065655
CA6,-0.002301629261747779,0.0,0.0
SLC2A7,-0.0031699436226638716,0.0064374202339243765,0.0
SLC2A5,-0.003193222942758113,0.0,0.0
GPR157,-0.0016076813630619192,0.0,0.0029840479002866778
H6PD,-0.0044974029857590535,0.0,-0.004657923435806039
SPSB1,-0.0030259987589407716,0.0,-0.0042078616562872375
SLC25A33,-0.010990371429367849,0.0073616362161755405,-0.004249219993716529
TMEM201,-0.004203089265145092,0.01295350083077041,0.0
PIK3CD,-0.0052495646055585625,0.0,0.0
CLSTN1,-0.021181574332881502,0.021843944518650467,0.0040910641798868365
CTNNBIP1,-0.0064040436802396145,0.007278465361494612,-0.006726563412319675
LZIC,-0.010223105679038808,0.007425626174766982,0.0
