,Mic1,Mic2,Ast1,Ast2,Ex1,Ex2,Ex3,Ex4,Oli1,Oli2,Oli3,In1,In2,In3,Opc1,Opc2
CNTNAP2,0.018037746443456636,0.01835857613307272,-0.027112194031818977,0.01471519928978459,0.006417023639342848,0.028206456362911518,0.07285267862251522,0.02983308194262421,0.023654439277238856,0.002369146208325962,0.0029179303799611997,0.014046603864273179,0.002876360353803111,0.01591839323143396,0.023294866947952103,0.0258076815543421
MTRNR2L12,0.005180597874422067,-0.009899068984013553,0.018522569121071298,0.009704821782214964,-0.014979156296448004,0.018468424564398966,0.02731078488725786,-0.007956008216109336,0.0039164420995278955,-0.008481901425755455,0.004061290281924286,0.009731863838416125,0.06338744264969336,0.006214554629073613,0.0029634159531852777,-0.009188578581782158
MTRNR2L1,0.014398606655792245,-0.0031092294059771714,0.0053703672686528465,0.0021463564334978486,-0.011195645120480437,0.020940300934321032,0.014286612877127937,-0.006304730892256512,0.0029898354636119706,-0.0038591347718794455,1.5468214597904247e-05,0.009546769645480025,0.053728076386540875,-0.0017205588550510181,0.003172033276412494,-0.005871286111154641
DHFR,0.007102309443877701,-0.007656222053751588,0.022690039018506004,0.010508589779153895,-0.018078000413792417,0.025284529034808628,0.036967962942364804,-0.015128248134022892,0.008979966937017962,-0.0022206532777315617,0.000791277387388198,0.008519358884277179,0.08776157261010707,0.015091504712490855,0.01350771004933248,-0.0008374905644838534
PVALB,-0.006942540581260368,0.006216738833252167,-0.005489000931533103,-0.0017885047476395661,0.0018990237180020906,-0.0016362856430672495,-0.00835818150087437,-0.005755655014680634,-0.0010670009480169037,0.0013550093775962146,-0.005414724517930531,-0.019888256586464807,0.08112363394236594,0.07201111902880329,0.003231520457653361,0.005281083263565591
SPARCL1,-0.007354988262070078,0.006171346304257819,-0.03936832855365101,0.020200147596501364,0.026713459990416685,0.005946904900973873,0.0005243712269745709,-0.03136830900345784,-0.0004869879826337438,0.01932241658634607,-0.009295648823045934,-0.018697068435998932,0.05856369224973209,0.07765192602736323,0.03996227318966401,0.007245747520056475
KIAA1217,0.003483477840444335,0.007946136074921317,-0.007460777191935202,0.005894406989162637,0.007792425030489949,0.000601517457378697,0.006804663122354503,0.02534596927363617,0.005571202128275759,0.011925010147381504,0.0038183963522038767,-0.007535176788175271,0.039603209097529964,0.06916139212117865,0.0352813577941563,0.017992936623342018
SCRG1,0.019064088703034717,0.0008578370354253455,-0.03948418614400599,0.024578953381629295,0.014718801438359717,-0.00568144749716733,-0.020603811894666476,-0.00424506514829868,0.01584531690116806,0.008318114878780581,0.011526266229771147,-0.013880637276974295,0.005421322505869443,0.010880215302611825,0.05457070525714137,0.011113873236095292
NAV2,0.00018694164532606744,0.017292553899764182,-0.023553981940359518,0.02049755060500338,0.022987670737836603,0.0023029387194717105,0.026095498859948378,0.024199837050132355,0.0033324594854676234,0.02815187155131416,0.03390688018914681,-0.01845719138183265,-0.03196250274043051,-0.004352593159343486,0.022738853820503724,0.04016378993553966
KCNIP1,0.012701828723953253,0.024408272147098394,-0.023522577040189164,0.0018373817799691484,0.005235988127239702,0.0009630281783490341,-0.00012017449409758621,0.0008192478748088842,0.005325414767004344,0.0077686578757673935,-0.00057850536944359,-0.005935425630571675,-0.05416956394129727,-0.04749060956755494,0.017689245478341737,0.038213832178945834
AHI1,0.008073397025484118,0.016155765570091945,-0.041471884205276775,0.017322788084478496,0.024496384451996377,0.008805841128428617,0.043512151537597646,0.028979014610593812,0.01838558234823737,0.023376066963215578,0.02444296693150108,-0.01659210874668553,-0.03425392996261082,0.008909181976749263,0.014033958168975402,0.036281453610807736
